code	code_idx	task	mis	notes	stu_id
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}]}	0	hoc4	1.0	stu	stu1
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}]}	1	hoc4	2.0	stu	stu2
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}]}	2	hoc4	3.0	stu	stu3
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}]}	3	hoc4	4.0	stu	stu4
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}]}	4	hoc4	5.0	stu	stu5
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}]}	5	hoc4	6.0	stu	stu6
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}]}	6	hoc4	1.0	stu	stu7
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}]}	7	hoc4	2.0	stu	stu8
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}]}	8	hoc4	3.0	stu	stu9
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	9	hoc4	4.0	stu	stu10
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	10	hoc4	5.0	stu	stu11
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}]}	11	hoc4	6.0	stu	stu12
{'type': 'run', 'children': [{'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}]}	12	hoc4a	1.0	stu	stu1
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}]}	13	hoc4a	2.0	stu	stu2
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}]}	14	hoc4a	3.0	stu	stu3
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	15	hoc4a	4.0	stu	stu4
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	16	hoc4a	5.0	stu	stu5
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}]}	17	hoc4a	6.0	stu	stu6
{'type': 'run', 'children': [{'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}]}	18	hoc4a	1.0	stu	stu7
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	19	hoc4a	2.0	stu	stu8
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}]}	20	hoc4a	3.0	stu	stu9
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	21	hoc4a	4.0	stu	stu10
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}]}	22	hoc4a	5.0	stu	stu11
{'type': 'run', 'children': [{'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_right'}]}	23	hoc4a	6.0	stu	stu12
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}]}	24	hoc4b	1.0	stu	stu1
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}]}	25	hoc4b	2.0	stu	stu2
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}]}	26	hoc4b	3.0	stu	stu3
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}]}	27	hoc4b	4.0	stu	stu4
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	28	hoc4b	5.0	stu	stu5
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}]}	29	hoc4b	6.0	stu	stu6
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}]}	30	hoc4b	1.0	stu	stu7
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}]}	31	hoc4b	2.0	stu	stu8
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}]}	32	hoc4b	3.0	stu	stu9
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	33	hoc4b	4.0	stu	stu10
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}]}	34	hoc4b	5.0	stu	stu11
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}]}	35	hoc4b	6.0	stu	stu12
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}]}	36	hoc4c	1.0	stu	stu1
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}]}	37	hoc4c	2.0	stu	stu2
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'turn_left'}, {'type': 'turn_right'}, {'type': 'move'}]}	38	hoc4c	3.0	stu	stu3
