pred	label	taskA	taskB	codeA	tutor	instid	codeBa	codeBb	codeBc	codeBd	codeBe	codeBf	codeBg	codeBh	codeBi	codeBj
9	9	hoc18	hoc18a	0	TutorSS1	0	21	16	129	14	126	49	13	17	94	12
9	9	hoc18	hoc18a	0	TutorSS3	0	21	16	129	14	126	49	13	17	94	12
9	9	hoc18	hoc18a	0	TutorSS2	0	21	16	129	14	126	49	13	17	94	12
6	6	hoc18	hoc18a	7	TutorSS3	1	14	49	21	22	17	112	19	18	123	100
6	6	hoc18	hoc18a	7	TutorSS2	1	14	49	21	22	17	112	19	18	123	100
6	6	hoc18	hoc18a	7	TutorSS1	1	14	49	21	22	17	112	19	18	123	100
6	6	hoc18	hoc18a	2	TutorSS2	2	19	15	130	122	17	49	14	97	22	12


6	6	hoc18	hoc18a	2	TutorSS1	2	19	15	130	122	17	49	14	97	22	12
6	6	hoc18	hoc18a	2	TutorSS3	2	19	15	130	122	17	49	14	97	22	12
3	3	hoc18	hoc18a	3	TutorSS1	3	49	13	95	15	20	22	126	123	18	23
3	3	hoc18	hoc18a	3	TutorSS2	3	49	13	95	15	20	22	126	123	18	23
3	3	hoc18	hoc18a	3	TutorSS3	3	49	13	95	15	20	22	126	123	18	23
7	7	hoc18	hoc18a	10	TutorSS3	4	17	13	115	21	14	125	49	22	18	99
7	7	hoc18	hoc18a	10	TutorSS2	4	17	13	115	21	14	125	49	22	18	99


7	7	hoc18	hoc18a	10	TutorSS1	4	17	13	115	21	14	125	49	22	18	99
0	0	hoc18	hoc18a	11	TutorSS2	5	23	18	49	117	130	19	21	16	20	93

0	0	hoc18	hoc18a	11	TutorSS1	5	23	18	49	117	130	19	21	16	20	93
0	0	hoc18	hoc18a	11	TutorSS3	5	23	18	49	117	130	19	21	16	20	93
4	3	hoc18	hoc18b	6	TutorSS3	6	35	34	164	30	50	31	27	134	26	145
9	3	hoc18	hoc18b	6	TutorSS1	6	35	34	164	30	50	31	27	134	26	145
3	3	hoc18	hoc18b	6	TutorSS2	6	35	34	164	30	50	31	27	134	26	145
0	2	hoc18	hoc18b	1	TutorSS3	7	50	152	25	30	133	28	147	35	26	27
0	2	hoc18	hoc18b	1	TutorSS2	7	50	152	25	30	133	28	147	35	26	27
2	2	hoc18	hoc18b	1	TutorSS1	7	50	152	25	30	133	28	147	35	26	27
0	0	hoc18	hoc18b	8	TutorSS2	8	32	170	28	168	35	27	138	50	24	25
0	0	hoc18	hoc18b	8	TutorSS1	8	32	170	28	168	35	27	138	50	24	25
0	0	hoc18	hoc18b	8	TutorSS3	8	32	170	28	168	35	27	138	50	24	25
9	9	hoc18	hoc18b	9	TutorSS3	9	145	50	170	30	32	28	35	25	132	33
9	9	hoc18	hoc18b	9	TutorSS1	9	145	50	170	30	32	28	35	25	132	33
9	9	hoc18	hoc18b	9	TutorSS2	9	145	50	170	30	32	28	35	25	132	33
2	2	hoc18	hoc18b	4	TutorSS3	10	31	33	28	29	26	24	134	161	50	142
2	2	hoc18	hoc18b	4	TutorSS1	10	31	33	28	29	26	24	134	161	50	142
2	2	hoc18	hoc18b	4	TutorSS2	10	31	33	28	29	26	24	134	161	50	142

9	9	hoc18	hoc18b	11	TutorSS3	11	32	149	132	24	50	28	161	25	33	35
9	9	hoc18	hoc18b	11	TutorSS1	11	32	149	132	24	50	28	161	25	33	35
9	9	hoc18	hoc18b	11	TutorSS2	11	32	149	132	24	50	28	161	25	33	35

9	9	hoc18	hoc18c	6	TutorSS1	12	195	189	38	40	51	45	37	172	47	42
9	9	hoc18	hoc18c	6	TutorSS2	12	195	189	38	40	51	45	37	172	47	42
9	9	hoc18	hoc18c	6	TutorSS3	12	195	189	38	40	51	45	37	172	47	42
9	2	hoc18	hoc18c	7	TutorSS1	13	51	177	43	205	40	41	44	45	192	42
2	2	hoc18	hoc18c	7	TutorSS2	13	51	177	43	205	40	41	44	45	192	42

2	2	hoc18	hoc18c	7	TutorSS3	13	51	177	43	205	40	41	44	45	192	42
3	3	hoc18	hoc18c	8	TutorSS3	14	196	40	172	44	37	51	39	192	42	47
2	3	hoc18	hoc18c	8	TutorSS2	14	196	40	172	44	37	51	39	192	42	47
3	3	hoc18	hoc18c	8	TutorSS1	14	196	40	172	44	37	51	39	192	42	47
4	4	hoc18	hoc18c	3	TutorSS3	15	41	189	175	185	39	44	37	36	51	46
4	4	hoc18	hoc18c	3	TutorSS2	15	41	189	175	185	39	44	37	36	51	46
4	4	hoc18	hoc18c	3	TutorSS1	15	41	189	175	185	39	44	37	36	51	46
7	7	hoc18	hoc18c	4	TutorSS2	16	36	181	39	191	37	195	41	40	44	51
7	7	hoc18	hoc18c	4	TutorSS1	16	36	181	39	191	37	195	41	40	44	51
7	7	hoc18	hoc18c	4	TutorSS3	16	36	181	39	191	37	195	41	40	44	51
0	0	hoc18	hoc18c	5	TutorSS2	17	41	185	38	37	200	172	40	36	39	51
0	0	hoc18	hoc18c	5	TutorSS3	17	41	185	38	37	200	172	40	36	39	51
0	0	hoc18	hoc18c	5	TutorSS1	17	41	185	38	37	200	172	40	36	39	51
5	5	hoc18	hoc18a	0	TutorSS3	18	14	21	108	97	13	12	22	117	17	49
5	5	hoc18	hoc18a	0	TutorSS1	18	14	21	108	97	13	12	22	117	17	49
5	5	hoc18	hoc18a	0	TutorSS2	18	14	21	108	97	13	12	22	117	17	49
8	8	hoc18	hoc18a	1	TutorSS3	19	18	104	49	21	22	97	124	20	13	23
8	8	hoc18	hoc18a	1	TutorSS1	19	18	104	49	21	22	97	124	20	13	23
8	8	hoc18	hoc18a	1	TutorSS2	19	18	104	49	21	22	97	124	20	13	23
5	2	hoc18	hoc18a	8	TutorSS3	20	113	97	20	22	112	49	21	12	19	23
2	2	hoc18	hoc18a	8	TutorSS2	20	113	97	20	22	112	49	21	12	19	23


2	2	hoc18	hoc18a	8	TutorSS1	20	113	97	20	22	112	49	21	12	19	23
9	9	hoc18	hoc18a	3	TutorSS1	21	20	49	103	93	16	117	17	18	13	15
9	9	hoc18	hoc18a	3	TutorSS2	21	20	49	103	93	16	117	17	18	13	15
9	9	hoc18	hoc18a	3	TutorSS3	21	20	49	103	93	16	117	17	18	13	15
9	9	hoc18	hoc18a	10	TutorSS3	22	101	105	49	13	17	126	15	18	20	22
1	9	hoc18	hoc18a	10	TutorSS1	22	101	105	49	13	17	126	15	18	20	22
9	9	hoc18	hoc18a	10	TutorSS2	22	101	105	49	13	17	126	15	18	20	22
0	0	hoc18	hoc18a	5	TutorSS3	23	17	22	12	110	21	124	49	101	19	14
0	0	hoc18	hoc18a	5	TutorSS2	23	17	22	12	110	21	124	49	101	19	14
0	0	hoc18	hoc18a	5	TutorSS1	23	17	22	12	110	21	124	49	101	19	14
2	4	hoc18	hoc18b	6	TutorSS2	24	139	35	50	25	30	32	167	34	144	27
2	4	hoc18	hoc18b	6	TutorSS3	24	139	35	50	25	30	32	167	34	144	27
5	4	hoc18	hoc18b	6	TutorSS1	24	139	35	50	25	30	32	167	34	144	27
0	3	hoc18	hoc18b	1	TutorSS3	25	50	27	153	25	147	34	32	29	137	24
0	3	hoc18	hoc18b	1	TutorSS2	25	50	27	153	25	147	34	32	29	137	24
3	3	hoc18	hoc18b	1	TutorSS1	25	50	27	153	25	147	34	32	29	137	24
3	3	hoc18	hoc18b	8	TutorSS2	26	28	141	35	32	153	33	162	50	30	31
3	3	hoc18	hoc18b	8	TutorSS3	26	28	141	35	32	153	33	162	50	30	31
3	3	hoc18	hoc18b	8	TutorSS1	26	28	141	35	32	153	33	162	50	30	31
